Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691112
,TGB.M.4F.E.A094T.U2.EUR.A,TGB.M.4F.E.A094T.U2.EUR.E,TGB.M.AT.N.A094T.U2.EUR.A,TGB.M.AT.N.A094T.U2.EUR.E,TGB.M.BE.N.A094T.U2.EUR.A,TGB.M.BE.N.A094T.U2.EUR.E,TGB.M.CY.N.A094T.U2.EUR.A,TGB.M.CY.N.A094T.U2.EUR.E,TGB.M.DE.N.A094T.U2.EUR.A,TGB.M.DE.N.A094T.U2.EUR.E,TGB.M.EE.N.A094T.U2.EUR.A,TGB.M.EE.N.A094T.U2.EUR.E,TGB.M.ES.N.A094T.U2.EUR.A,TGB.M.ES.N.A094T.U2.EUR.E,TGB.M.FI.N.A094T.U2.EUR.A,TGB.M.FI.N.A094T.U2.EUR.E,TGB.M.FR.N.A094T.U2.EUR.A,TGB.M.FR.N.A094T.U2.EUR.E,TGB.M.GR.N.A094T.U2.EUR.A,TGB.M.GR.N.A094T.U2.EUR.E,TGB.M.IE.N.A094T.U2.EUR.A,TGB.M.IE.N.A094T.U2.EUR.E,TGB.M.IT.N.A094T.U2.EUR.A,TGB.M.IT.N.A094T.U2.EUR.E,TGB.M.LT.N.A094T.U2.EUR.A,TGB.M.LT.N.A094T.U2.EUR.E,TGB.M.LU.N.A094T.U2.EUR.A,TGB.M.LU.N.A094T.U2.EUR.E,TGB.M.LV.N.A094T.U2.EUR.A,TGB.M.LV.N.A094T.U2.EUR.E,TGB.M.MT.N.A094T.U2.EUR.A,TGB.M.MT.N.A094T.U2.EUR.E,TGB.M.NL.N.A094T.U2.EUR.A,TGB.M.NL.N.A094T.U2.EUR.E,TGB.M.PT.N.A094T.U2.EUR.A,TGB.M.PT.N.A094T.U2.EUR.E,TGB.M.SI.N.A094T.U2.EUR.A,TGB.M.SI.N.A094T.U2.EUR.E,TGB.M.SK.N.A094T.U2.EUR.A,TGB.M.SK.N.A094T.U2.EUR.E,TGB.M.U4.N.A094T.U2.EUR.A,TGB.M.U4.N.A094T.U2.EUR.E
2008May,32202.65,34166.77,-22546.58,-24462.09,-53808.84,-53759.33,-1864.57,-2143.93,88914.64,91759.28,-,-,-9452.42,-13949.89,-1971.41,-2117.10,-55800.75,-49681.74,-14698.87,-19257.54,-1792.40,-2789.27,41616.10,29857.24,-,-,17937.09,19589.82,-,-,-762.48,-751.18,1936.32,10213.42,-12774.60,-13285.40,-3699.65,-3541.34,-,-,175.55,152.28
2008Apr,-,,-21709.05,,-52327.36,,-1629.32,,93516.00,,-,,-12727.91,,-1833.50,,-64726.73,,-9334.45,,-2027.77,,48162.00,,-,,22063.36,,-,,-774.32,,1213.18,,-12647.45,,-3695.00,,-,,-,
2008Mar,-,,-22738.33,,-54177.62,,-1489.48,,89470.90,,-,,-6425.67,,-1352.05,,-57695.29,,-2547.00,,-338.48,,43312.14,,-,,21777.43,,-,,-795.05,,4829.81,,-11493.48,,-3695.71,,-,,-,
2008Feb,-,,-20873.76,,-43075.29,,-1400.05,,97902.05,,-,,-7984.81,,99.10,,-58558.10,,422.00,,-498.24,,25640.90,,-,,24710.86,,-,,-737.24,,-11838.76,,-11541.38,,-3594.29,,-,,-,
2008Jan,-,,-19893.05,,-40969.57,,-976.19,,67795.52,,-,,-5448.81,,71.00,,-36639.52,,-8275.62,,-5181.29,,34663.38,,-,,26258.14,,-,,-455.24,,-13360.71,,-11008.29,,-3495.29,,-,,-,
2007Dec,-,,-21819.95,,-50104.14,,-,,68614.76,,-,,-4467.48,,1097.10,,-28732.10,,-10246.95,,441.48,,37345.33,,-,,21395.52,,-,,-,,-6206.29,,-10585.71,,-3474.14,,-,,-,
2007Nov,-,,-23676.86,,-46702.77,,-,,66443.91,,-,,-291.09,,-577.32,,-17090.64,,-9588.32,,7215.64,,26225.73,,-,,20907.68,,-,,-,,-11032.82,,-11327.18,,-3595.73,,-,,-,
2007Oct,-,,-26241.43,,-29087.13,,-,,42902.39,,-,,5910.78,,-317.87,,-20042.57,,-9619.30,,6372.65,,30313.78,,-,,15328.04,,-,,-,,-4082.39,,-10966.09,,-3560.96,,-,,-,
2007Sep,-,,-26174.68,,-45278.68,,-,,25901.21,,-,,17215.58,,-577.68,,-8491.58,,-9506.53,,4690.95,,41170.95,,-,,14538.11,,-,,-,,-2672.05,,-9999.32,,-3549.21,,-,,-,
2007Aug,-,,-24819.35,,-41694.91,,-,,30346.83,,-,,24045.39,,-222.26,,-1473.57,,-8773.61,,2556.61,,23912.30,,-,,13553.91,,-,,-,,-7589.74,,-9031.17,,-3513.48,,-,,-,
2007Jul,-,,-26072.36,,-41726.86,,-,,26022.00,,-,,27105.95,,146.59,,1110.09,,-7520.23,,-989.82,,26105.36,,-,,8753.00,,-,,-,,-3044.82,,-8853.36,,-3498.36,,-,,-,
2007Jun,-,,-26234.90,,-42806.38,,-,,31578.62,,-,,34801.52,,-556.14,,6096.38,,-8452.76,,-1599.90,,12904.24,,-,,7423.48,,-,,-,,-2772.48,,-9270.00,,-3533.52,,-,,-,
2007May,-,,-21311.74,,-40668.04,,-,,24235.39,,-,,33131.96,,-599.04,,5305.26,,-9362.35,,8.35,,11544.83,,-,,6463.04,,-,,-,,1835.78,,-9207.04,,-3495.39,,-,,-,
2007Apr,-,,-21814.67,,-41745.29,,-,,16491.14,,-,,26000.29,,-698.19,,10525.33,,-7646.62,,99.14,,23038.05,,-,,5807.33,,-,,-,,104.29,,-8941.67,,-3419.57,,-,,-,
2007Mar,-,,-23405.71,,-41104.19,,-,,23898.95,,-,,20944.05,,-437.90,,12253.43,,-9053.67,,-1549.33,,12268.52,,-,,6470.81,,-,,-,,9740.05,,-8737.14,,-3077.33,,-,,-,
2007Feb,-,,-21417.80,,-39274.75,,-,,19421.90,,-,,21756.65,,-425.60,,14180.60,,-10976.70,,-2311.60,,12918.30,,-,,6534.70,,-,,-,,8668.30,,-8597.75,,-2332.30,,-,,-,
2007Jan,-,,-20456.27,,-40895.50,,-,,6992.55,,-,,21928.77,,-72.73,,12154.09,,-10983.00,,-5802.86,,28715.95,,-,,7032.18,,-,,-,,8206.23,,-8674.64,,-1322.14,,-,,-,
2006Dec,-,,-20054.70,,-38485.55,,-,,9157.15,,-,,23621.95,,-474.80,,16785.80,,-11113.45,,-6126.00,,22917.60,,-,,5455.85,,-,,-,,2830.00,,-8272.55,,-,,-,,-,
2006Nov,-,,-20731.68,,-37928.91,,-,,13524.73,,-,,25442.91,,-893.23,,10831.59,,-10832.27,,-8688.41,,23337.18,,-,,5110.68,,-,,-,,5920.14,,-8916.91,,-,,-,,-,
2006Oct,-,,-20985.41,,-33871.41,,-,,1629.95,,-,,25416.41,,-1260.59,,9298.59,,-11058.82,,-10291.32,,35228.64,,-,,4404.55,,-,,-,,6424.77,,-8711.36,,-,,-,,-,
2006Sep,-,,-23173.86,,-35334.33,,-,,14960.19,,-,,24924.86,,-1000.38,,8820.52,,-11479.14,,-10232.62,,29874.48,,-,,4825.00,,-,,-,,6176.90,,-11860.10,,-,,-,,-,
2006Aug,-,,-23631.13,,-36738.83,,-,,10068.22,,-,,28012.52,,-547.22,,7898.00,,-11311.43,,-8000.09,,34548.65,,-,,2497.91,,-,,-,,6863.09,,-13344.52,,-,,-,,-,
2006Jul,-,,-21753.80,,-36178.05,,-,,-3716.65,,-,,29170.45,,-537.60,,8393.40,,-10990.20,,-7197.05,,45375.15,,-,,3450.40,,-,,-,,5876.40,,-15525.45,,-,,-,,-,
2006Jun,-,,-20993.77,,-33541.77,,-,,7946.59,,-,,29057.77,,-526.14,,9759.68,,-12057.23,,-5652.27,,23450.14,,-,,4941.27,,-,,-,,9441.86,,-15155.09,,-,,-,,-,
2006May,-,,-19477.96,,-28329.61,,-,,5138.74,,-,,24623.00,,-97.13,,10598.35,,-12750.57,,-5158.52,,17665.91,,-,,8478.04,,-,,-,,11347.91,,-15400.13,,-,,-,,-,
2006Apr,-,,-17201.75,,-31129.95,,-,,5925.95,,-,,21598.10,,-199.80,,10286.45,,-12444.50,,-2679.65,,24419.20,,-,,11307.65,,-,,-,,1885.90,,-15107.75,,-,,-,,-,
2006Mar,-,,-16712.48,,-31362.13,,-,,15345.52,,-,,18755.74,,247.00,,8514.65,,-13538.35,,-2762.57,,22443.04,,-,,8000.87,,-,,-,,3143.00,,-15256.65,,-,,-,,-,
2006Feb,-,,-16182.75,,-31277.50,,-,,13656.70,,-,,17198.70,,-76.40,,7374.20,,-12558.90,,-2120.95,,19343.60,,-,,8833.55,,-,,-,,6690.35,,-14472.90,,-,,-,,-,
2006Jan,-,,-16835.27,,-35461.86,,-,,8652.55,,-,,13116.64,,327.14,,11726.18,,-11545.18,,-5374.68,,27094.82,,-,,9288.18,,-,,-,,8574.73,,-13698.64,,-,,-,,-,
2005Dec,-,,-15834.00,,-32520.68,,-,,16987.18,,-,,12806.41,,222.18,,8876.27,,-10863.41,,-3918.95,,18621.09,,-,,9038.09,,-,,-,,5587.86,,-13072.45,,-,,-,,-,
2005Nov,-,,-16211.90,,-28926.43,,-,,24843.71,,-,,12651.62,,-120.90,,6890.19,,-11730.71,,-6373.24,,16432.90,,-,,8003.38,,-,,-,,3875.95,,-13355.33,,-,,-,,-,
2005Oct,-,,-15046.33,,-28226.24,,-,,16483.43,,-,,14553.86,,-105.00,,7209.43,,-11545.14,,-7588.24,,16899.57,,-,,9365.43,,-,,-,,6883.86,,-12979.67,,-,,-,,-,
2005Sep,-,,-14369.45,,-26952.00,,-,,12031.95,,-,,10124.14,,-250.32,,10019.32,,-10453.77,,-7100.55,,20349.73,,-,,9118.50,,-,,-,,6626.59,,-13231.14,,-,,-,,-,
2005Aug,-,,-13689.83,,-30020.43,,-,,11420.22,,-,,10398.00,,-49.78,,4345.22,,-11016.70,,-6981.87,,34969.87,,-,,5183.04,,-,,-,,4070.09,,-12688.17,,-,,-,,-,
2005Jul,-,,-13751.05,,-29483.05,,-,,1885.05,,-,,13371.86,,-99.24,,8609.76,,-10967.48,,-6465.33,,35914.90,,-,,6058.95,,-,,-,,3749.81,,-12924.67,,-,,-,,-,
2005Jun,-,,-12974.80,,-29430.00,,-,,8533.95,,-,,18552.20,,-308.20,,5052.60,,-12533.35,,-5336.35,,30830.00,,-,,6122.05,,-,,-,,1047.40,,-13686.20,,-,,-,,-,
2005May,-,,-11029.45,,-28175.68,,-,,10525.55,,-,,16757.32,,-608.91,,7363.86,,-12523.68,,-5185.09,,22188.18,,-,,7952.32,,-,,-,,2582.73,,-14011.86,,-,,-,,-,
2005Apr,-,,-10995.30,,-29675.35,,-,,12646.25,,-,,16575.65,,-1239.15,,4924.30,,-13770.25,,-4789.30,,32475.80,,-,,6610.50,,-,,-,,-2906.15,,-14003.55,,-,,-,,-,
2005Mar,-,,-10327.04,,-29153.17,,-,,2465.00,,-,,22618.61,,-1329.22,,6936.26,,-13789.87,,-3437.91,,31128.91,,-,,5902.39,,-,,-,,-1400.91,,-13842.96,,-,,-,,-,
2005Feb,-,,-9675.00,,-25727.68,,-,,-5117.21,,-,,25559.79,,-1662.32,,7561.84,,-13943.37,,-3400.05,,30630.74,,-,,4374.32,,-,,-,,-4.89,,-12858.32,,-,,-,,-,
2005Jan,-,,-8496.52,,-28673.43,,-,,6312.05,,-,,24869.14,,-1777.24,,9752.00,,-11734.05,,-5495.00,,18343.90,,-,,5944.90,,-,,-,,-500.71,,-11507.38,,-,,-,,-,
2004Dec,-,,-7259.09,,-26023.13,,-,,-3168.04,,-,,25025.09,,-1570.09,,10392.13,,-10260.65,,-3360.39,,18506.65,,-,,3311.87,,-,,-,,1996.13,,-10516.78,,-,,-,,-,
2004Nov,-,,-6226.68,,-24539.36,,-,,-5092.14,,-,,26391.18,,-1727.64,,14001.09,,-12066.73,,-3893.68,,15629.77,,-,,5749.95,,-,,-,,102.27,,-11267.55,,-,,-,,-,
2004Oct,-,,-6897.24,,-25433.48,,-,,6944.05,,-,,23012.10,,-2730.71,,12259.00,,-11867.14,,-4488.24,,8791.24,,-,,5379.76,,-,,-,,2636.33,,-10574.24,,-,,-,,-,
2004Sep,-,,-6132.82,,-22197.64,,-,,112.77,,-,,18003.36,,-2658.86,,8650.05,,-12724.55,,-3314.95,,19488.18,,-,,4173.18,,-,,-,,3561.14,,-9961.36,,-,,-,,-,
2004Aug,-,,-4620.32,,-20586.77,,-,,-7696.45,,-,,22733.32,,-2531.18,,10265.09,,-12437.18,,-2945.73,,17754.91,,-,,4123.55,,-,,-,,2246.91,,-9333.41,,-,,-,,-,
2004Jul,-,,-3537.73,,-22397.64,,-,,-12500.59,,-,,26028.59,,-2727.09,,12042.23,,-14450.18,,-3639.09,,23632.14,,-,,3001.27,,-,,-,,1151.36,,-9645.05,,-,,-,,-,
2004Jun,-,,-3227.18,,-21902.32,,-,,-4841.09,,-,,24367.09,,-2708.00,,9882.73,,-15618.05,,-4715.09,,22854.14,,-,,2151.55,,-,,-,,136.05,,-9440.23,,-,,-,,-,
2004May,-,,-2035.71,,-19466.62,,-,,5693.81,,-,,23469.81,,-2949.57,,9786.43,,-13069.62,,-6635.67,,8329.43,,-,,4032.00,,-,,-,,-1285.24,,-8970.48,,-,,-,,-,
2004Apr,-,,-2564.77,,-21471.64,,-,,11812.82,,-,,20114.50,,-2988.55,,8039.09,,-12276.82,,-6546.32,,10408.00,,-,,1349.41,,-,,-,,-831.45,,-8132.73,,-,,-,,-,
2004Mar,-,,-3663.86,,-16890.64,,-,,9351.82,,-,,16682.09,,-2898.14,,8333.36,,-14187.41,,-7267.50,,15786.18,,-,,1539.55,,-,,-,,-2111.09,,-7833.36,,-,,-,,-,
2004Feb,-,,-2232.15,,-15637.30,,-,,6901.40,,-,,15961.35,,-3245.05,,12728.70,,-15911.85,,-6753.90,,10804.95,,-,,1676.45,,-,,-,,-148.55,,-7297.30,,-,,-,,-,
2004Jan,-,,-723.64,,-15677.18,,-,,4790.59,,-,,16088.32,,-2717.77,,16800.55,,-15714.18,,-8714.23,,9330.73,,-,,1791.09,,-,,-,,-621.23,,-7881.14,,-,,-,,-,
2003Dec,-,,-833.82,,-16772.77,,-,,5101.05,,-,,16765.95,,-2233.64,,14145.73,,-15371.50,,-6879.41,,10670.59,,-,,-893.59,,-,,-,,-550.14,,-7251.68,,-,,-,,-,
2003Nov,-,,-1986.60,,-10539.15,,-,,11856.00,,-,,21155.50,,-1825.90,,15469.00,,-17969.20,,-7857.80,,-791.45,,-,,-1269.90,,-,,-,,-1432.45,,-8938.55,,-,,-,,-,
2003Oct,-,,-1265.87,,-10311.61,,-,,13376.09,,-,,17669.39,,-2199.87,,17133.26,,-16332.39,,-9533.74,,-1227.00,,-,,-1707.96,,-,,-,,-1506.00,,-8250.91,,-,,-,,-,
2003Sep,-,,-465.68,,-10278.68,,-,,-2237.73,,-,,15599.45,,-2891.55,,16424.09,,-14368.82,,-8980.23,,12188.18,,-,,-1103.14,,-,,-,,-196.64,,-7907.91,,-,,-,,-,
2003Aug,-,,145.24,,-11284.38,,-,,5282.71,,-,,11567.57,,-2593.19,,17233.71,,-14179.33,,-9200.95,,6556.29,,-,,-1541.76,,-,,-,,1820.00,,-8075.90,,-,,-,,-,
2003Jul,-,,293.50,,-9596.18,,-,,-11196.18,,-,,23541.05,,-2943.23,,16017.27,,-15463.77,,-7127.77,,10083.05,,-,,-1759.18,,-,,-,,1645.68,,-8086.45,,-,,-,,-,
2003Jun,-,,662.67,,-8751.10,,-,,-12048.95,,-,,25645.38,,-2527.29,,13755.52,,-15885.24,,-4660.24,,6797.71,,-,,-1289.14,,-,,-,,1805.90,,-7893.33,,-,,-,,-,
2003May,-,,1091.10,,-8750.00,,-,,-5438.10,,-,,24441.55,,-2359.40,,13504.85,,-15522.75,,-5566.60,,916.30,,-,,753.45,,-,,-,,633.55,,-7939.70,,-,,-,,-,
2003Apr,-,,1540.55,,-6183.55,,-,,-4164.45,,-,,23939.32,,-3175.18,,14731.55,,-16598.09,,-6791.05,,3909.05,,-,,-3262.82,,-,,-,,-570.59,,-7773.27,,-,,-,,-,
2003Mar,-,,496.85,,-8518.10,,-,,-1474.80,,-,,20802.75,,-3627.20,,10856.95,,-17695.45,,-5067.80,,16009.25,,-,,-5689.35,,-,,-,,-3610.55,,-7237.20,,-,,-,,-,
2003Feb,-,,1144.30,,-11647.40,,-,,4456.10,,-,,20511.40,,-2886.35,,13355.45,,-18714.05,,-5019.85,,7394.90,,-,,-4820.75,,-,,-,,-2190.70,,-6576.95,,-,,-,,-,
2003Jan,-,,2214.09,,-10666.35,,-,,-923.65,,-,,20939.13,,-3639.52,,15403.43,,-17960.70,,-4238.43,,4916.74,,-,,-5096.48,,-,,-,,506.35,,-6591.61,,-,,-,,-,
2002Dec,-,,3415.33,,-12654.29,,-,,-9220.95,,-,,22660.10,,-2494.14,,13394.67,,-16779.24,,-1385.38,,8160.00,,-,,-4107.76,,-,,-,,-1865.00,,-5191.71,,-,,-,,-,
2002Nov,-,,3169.38,,-8638.62,,-,,7758.10,,-,,23633.90,,-2803.67,,11981.19,,-16285.29,,-3078.86,,-7528.76,,-,,-6776.71,,-,,-,,-1140.00,,-6289.38,,-,,-,,-,
2002Oct,-,,2494.39,,-5515.65,,-,,7814.70,,-,,24126.57,,-3318.96,,7931.39,,-16091.26,,-2502.00,,-6612.26,,-,,-7586.35,,-,,-,,-412.17,,-6361.87,,-,,-,,-,
2002Sep,-,,1701.90,,-5782.81,,-,,6754.43,,-,,21635.86,,-3863.29,,9124.05,,-15174.86,,-3225.29,,-1798.67,,-,,-8426.24,,-,,-,,-1136.33,,-5813.00,,-,,-,,-,
2002Aug,-,,2010.95,,-5043.36,,-,,5279.91,,-,,20028.55,,-3636.14,,10973.27,,-14752.91,,-3509.59,,335.27,,-,,-8732.05,,-,,-,,-3590.41,,-5397.18,,-,,-,,-,
2002Jul,-,,2681.96,,-3184.17,,-,,-7744.30,,-,,19848.83,,-3419.70,,12389.83,,-14561.87,,-4149.48,,6545.57,,-,,-10087.78,,-,,-,,1378.30,,-5792.83,,-,,-,,-,
2002Jun,-,,2742.68,,-1124.26,,-,,-8993.05,,-,,23720.53,,-3466.84,,14343.37,,-12299.05,,-5352.26,,-4214.63,,-,,-6699.79,,-,,-,,1142.58,,-6001.16,,-,,-,,-,
2002May,-,,4086.61,,-4568.13,,-,,-9102.57,,-,,23692.17,,-3050.22,,15972.35,,-11974.35,,-5304.13,,-7895.13,,-,,-6285.35,,-,,-,,4329.22,,-6229.52,,-,,-,,-,
2002Apr,-,,2936.55,,-4216.20,,-,,-11375.50,,-,,22881.90,,-2792.85,,14110.25,,-12862.65,,-6156.65,,-858.15,,-,,-7024.25,,-,,-,,5324.90,,-6439.35,,-,,-,,-,
2002Mar,-,,2391.10,,-6237.75,,-,,-12697.10,,-,,21225.95,,-2625.85,,14122.75,,-12480.45,,-5778.35,,3067.65,,-,,-7601.20,,-,,-,,5062.45,,-6179.95,,-,,-,,-,
2002Feb,-,,2872.50,,-4534.05,,-,,-17497.00,,-,,20925.40,,-2466.85,,15915.10,,-11897.85,,-5188.50,,6430.05,,-,,-9751.50,,-,,-,,2669.50,,-5479.10,,-,,-,,-,
2002Jan,-,,574.26,,-1455.70,,-,,-27310.00,,-,,26613.61,,-2906.04,,15041.83,,-11000.96,,-5031.04,,9782.39,,-,,-7525.83,,-,,-,,571.04,,-5545.74,,-,,-,,-,
2001Dec,-,,-307.67,,-6002.62,,-,,-19445.71,,-,,23439.43,,-2248.24,,14711.29,,-7850.19,,-3613.71,,9191.10,,-,,-10756.67,,-,,-,,-1304.48,,-5401.24,,-,,-,,-,
2001Nov,-,,-1443.50,,-5378.05,,-,,-8444.05,,-,,27644.36,,-2337.14,,10201.18,,-7738.05,,-2981.36,,-1892.82,,-,,-9797.27,,-,,-,,-1241.32,,-5826.05,,-,,-,,-,
2001Oct,-,,-669.91,,-1786.83,,-,,-4493.48,,-,,28528.83,,-2673.43,,10470.35,,-8336.30,,-5978.91,,-2376.09,,-,,-14388.91,,-,,-,,-2492.57,,-4780.17,,-,,-,,-,
2001Sep,-,,-1447.10,,-1960.20,,-,,-8147.00,,-,,26825.30,,-2881.10,,12191.80,,-9091.50,,-6578.70,,1253.85,,-,,-14139.15,,-,,-,,-1052.20,,-4829.95,,-,,-,,-,
2001Aug,-,,-1956.30,,-2685.26,,-,,-2225.61,,-,,25268.48,,-2464.96,,6163.39,,-9470.43,,-5563.00,,5442.30,,-,,-14785.48,,-,,-,,-1758.00,,-4634.96,,-,,-,,-,
2001Jul,-,,-1545.27,,440.64,,-,,-8877.55,,-,,26324.95,,-2137.91,,8603.27,,-12683.91,,-4593.18,,69.95,,-,,-11950.68,,-,,-,,2802.59,,-4938.91,,-,,-,,-,
2001Jun,-,,-2158.19,,-2687.71,,-,,-5019.29,,-,,25981.24,,-1707.67,,5895.33,,-11148.19,,-4833.43,,-1500.14,,-,,-11117.57,,-,,-,,4227.05,,-4604.29,,-,,-,,-,
2001May,-,,-403.35,,-7967.52,,-,,3683.30,,-,,24455.74,,-1599.48,,5083.87,,-9141.22,,-4743.13,,-7360.04,,-,,-10284.48,,-,,-,,3746.87,,-4202.74,,-,,-,,-,
2001Apr,-,,-907.25,,-6280.00,,-,,-8959.05,,-,,24549.95,,-1803.00,,4843.25,,-6471.95,,-3493.30,,4106.70,,-,,-9840.40,,-,,-,,-60.75,,-4111.05,,-,,-,,-,
2001Mar,-,,-3193.05,,-7038.00,,-,,-1796.82,,-,,23675.64,,-1960.18,,-1545.00,,-4364.59,,-3889.77,,5488.41,,-,,-11612.23,,-,,-,,37.14,,-4637.36,,-,,-,,-,
2001Feb,-,,-4453.90,,-6924.85,,-,,-2932.05,,-,,32958.50,,-2030.95,,-225.85,,-1374.70,,-4317.45,,-2692.00,,-,,-12185.80,,-,,-,,-1638.65,,-5403.90,,-,,-,,-,
2001Jan,-,,-4676.05,,-6492.05,,-,,-11567.59,,-,,40955.41,,-1172.95,,-1552.27,,-1121.91,,-2983.82,,-7614.55,,-,,-12389.86,,-,,-,,2025.45,,-5172.27,,-,,-,,-,
